created_at,full_text,retweet_count,favorite_count,screen_name
Mon Oct 04 13:30:13 +0000 2021,"@DrTarikaBarrett @GirlsWhoCode @CISAgov This is great news, @DrTarikaBarrett! Non-traditional career pathways are critical in creating a more diverse workforce, particularly for cybersecurity and #WomeninSTEM. — Here I wrote about how we integrate recruits without traditional 4-year degrees: https://t.co/ki9AR2omAP",0,0,GinniRometty
Mon Oct 04 13:25:19 +0000 2021,"@liseeng @IBM I’m so happy these lessons resonated with you. My time at @IBM was invaluable, and it taught me when challenges arise we must act. The pandemic has been the ultimate challenge.",1,1,GinniRometty
Fri Oct 01 18:19:50 +0000 2021,"@IndraNooyi @davepuente Thank YOU, Indra, for sharing your story of #MyLifeInFull. And congratulations on your book. I can’t wait to read about the many challenges you’ve had to overcome — in your life &amp; your career — and to see what comes next for one of the most impressive &amp; accomplished women I know.",0,6,GinniRometty
Fri Oct 01 13:55:52 +0000 2021,@sloan_kettering Thank you #MSKHealthcareHeroes for being important role models. It’s so important to uplift doctors to show young women and girls where careers in #STEM can lead.,0,1,GinniRometty
Tue Sep 21 18:07:50 +0000 2021,"If it’s a problem that can’t be fixed, then you should move on. But you still want to make sure that your next job is one you’re excited and passionate about.",2,13,GinniRometty
Tue Sep 21 18:07:50 +0000 2021,"Or are you running FROM a bad work environment? Do you feel frustrated by a bad boss, a tough schedule, or just feel stuck in place? At a good company, these issues are often temporary, and may be resolved if you pause and try to address the issue.",3,15,GinniRometty
Tue Sep 21 18:07:49 +0000 2021,"People often ask for my advice when they’re thinking about changing jobs. My response is always to ask them the same question: Are you running TO a new opportunity that really excites you? If so, that’s great. #GreatResignation https://t.co/rzeFzmGfgI",10,55,GinniRometty
Fri Sep 17 22:34:15 +0000 2021,@USDOL @BLS_gov Diversity is a number; inclusion is a choice. Integrating workers of different backgrounds must be done with an authentic belief that it will make you a better company - because it will. #HispanicHeritageMonth,0,1,GinniRometty
Thu Sep 16 15:47:14 +0000 2021,My friend @mtbarra is an agent of change. Her power lies in empowering others. She urges women to go for it. I can think of no one more deserving of the honor of #TIME100. https://t.co/iFqkX40s00,1,30,GinniRometty
Tue Sep 14 14:36:15 +0000 2021,The idea of spending nearly 40 years at one company is probably unthinkable for many workers today. My advice from a career @IBM is to do what you love and work with a company whose purpose aligns with your own. https://t.co/LAiETlwrQe,29,202,GinniRometty
Tue Sep 07 17:41:35 +0000 2021,"School is about more than just learning for learning’s sake; it’s an opportunity to learn how to solve problems. No matter what you do in life or what career you choose, problem solving will be the core of your work. #BackToSchool https://t.co/ZvaZF3jO6y",8,28,GinniRometty
Thu Sep 02 19:19:50 +0000 2021,"@NorthwesternU I’m so proud to see my alma mater taking on this challenge. To create a more diverse and successful industry, we need to change paradigms to make careers in STEM accessible to people of all backgrounds.",0,5,GinniRometty
Tue Aug 31 20:05:34 +0000 2021,The talents of too many Black Americans are being wasted because they are denied equal opportunities to succeed. I’m proud to work with @MauriceOneTen and our @OneTen coalition to promote family-sustaining careers for Black individuals. https://t.co/n0Np2cChvi,6,24,GinniRometty
Mon Aug 30 21:27:37 +0000 2021,@dnbglobal #Cybersecurity analysts are a great example of where companies can strengthen and diversify their workforce through skills-based hiring. I wrote about what we learned at #IBM and how others can apply those lessons. https://t.co/ki9AR2omAP,1,3,GinniRometty
Mon Aug 30 21:18:02 +0000 2021,"Opportunity can be an equalizer. As we remember the March on Washington, I’m proud that the @OneTen coalition is continuing the fight for equality by creating economic opportunity and meaningful jobs for Black Americans. https://t.co/V7luvuAtLs",10,22,GinniRometty
Mon Aug 30 20:54:47 +0000 2021,@axios I’m glad to see this administration and industry leaders taking cybersecurity and ransomware threats seriously. But also remember security and data protection for most people and organizations starts with basic precautions. https://t.co/TMTQ68IMzk,0,2,GinniRometty
Mon Aug 30 20:44:25 +0000 2021,Companies need to constantly raise the bar on taking preemptive action to address cybersecurity. Organizational actions to keep systems and data secure can be complex - but it’s important for all of us not to forget the basics. https://t.co/01sPgBRnpk,5,21,GinniRometty
Tue Aug 24 20:44:27 +0000 2021,"Organizations should expect sophisticated attacks and proactively prepare for recovery. If you get the flu, the goal is to stop it from turning into pneumonia. If you suffer an attack, you want to stop it from spreading and infecting your entire network. https://t.co/ZRgQufAvsP",15,28,GinniRometty
Mon Aug 23 16:12:48 +0000 2021,@briankrebs I recently wrote about a few of the basic strategies organizations can use to stop attacks like this before they impact the entire network: https://t.co/TMTQ690nqS,0,0,GinniRometty
Mon Aug 23 16:11:58 +0000 2021,"@gcluley We expect cyber breaches to come from sophisticated attacks, but they often come from simple mistakes. In my recent article, I wrote about how essential basic precautions are, and how they’re often forgotten when we blur the lines between home and office: https://t.co/TMTQ690nqS",0,1,GinniRometty
Mon Aug 23 16:04:52 +0000 2021,"Cybersecurity is a priority at every level. As attacks become more advanced, the next generation of leaders, like the Girl Scouts, will need to be prepared. Great work! https://t.co/qfryTGVktz",1,5,GinniRometty
Mon Aug 23 15:47:09 +0000 2021,"RT @GirlsWhoCode: ""I learned to always take on things I'd never done before. Growth and comfort do not coexist."" - @GinniRometty, the first…",16,0,GinniRometty
Fri Aug 20 16:25:43 +0000 2021,Applying AI to cybersecurity will present organizations with the opportunity to spot the early warning signs of bad actors by identifying patterns that are too complex for humans alone. You must fight tech with tech. https://t.co/njjI82dRU3,6,26,GinniRometty
Tue Aug 17 20:17:21 +0000 2021,"Cybersecurity attacks can be sophisticated, but it is often simple mistakes that open the door. It’s important to constantly review security basics and access permissions, especially for those in hybrid work environments. https://t.co/Alyb23qCnE",11,44,GinniRometty
Fri Aug 13 13:54:55 +0000 2021,STEM is the launch pad that provides students the skills they need to solve problems with technology solutions. #InternationalYouthDay reminds us that we need young people to create technologically-driven global change to solve our world’s most pressing health problems. https://t.co/UOYOeKNhM1,3,19,GinniRometty
Fri Aug 13 13:31:53 +0000 2021,"@NextCityOrg Together we have the opportunity to create a more equitable work force. Thanks, @NextCityOrg for your commitment.",0,2,GinniRometty
Wed Aug 11 16:46:09 +0000 2021,"The key to cybersecurity is to be proactive. My next Lessons Learned series shares steps to protect organizations from cyberattacks:
1. Keep revisiting the basics
2. Accelerate the use of AI in Cybersecurity
3. Put your effort into recovery and resilience
https://t.co/TRKb60Ls99",14,25,GinniRometty
Fri Aug 06 18:12:07 +0000 2021,"Gabby Thomas is a role model for young girls in the classroom and on the track. Congratulations, @ItsGabrielleT! https://t.co/8xOfyqSaw7",15,46,GinniRometty
Tue Aug 03 14:11:06 +0000 2021,"While we’ve been looking forward to reopening for over a year, the challenges of the pandemic will not disappear. They will persist, but with the opportunity to create enduring change that will make our businesses and communities better. What have you learned about leadership? https://t.co/vZSGTtdHbY",1,6,GinniRometty
Fri Jul 30 14:50:31 +0000 2021,@DrTarikaBarrett Thank you for sharing Jocelyn’s story. Jocelyn is another great example of the many women in STEM who overcame significant challenges and made historic contributions.,0,2,GinniRometty
Thu Jul 29 14:37:06 +0000 2021,"@OneTen The best way to drive enduring change in your companies is to co-create with employees — people are more receptive to change when they’re part of the conversation. When you lead with employees’ best interests in mind, they’ll feel that. https://t.co/6B1m7EIWyw",5,11,GinniRometty
Tue Jul 27 14:29:16 +0000 2021,"The pandemic disproportionately affected communities of color. That’s why I helped launch @OneTen, an organization that will bring together businesses and talent providers to create one million jobs for Black Americans over the next 10 years. https://t.co/GOuqJlEPSh",8,14,GinniRometty
Fri Jul 23 16:43:40 +0000 2021,"Women offer a valuable perspective on COVID-19 recovery — they’ve lost jobs at a faster rate than men and bore the brunt of childcare. We know women are good for business, but to make a difference in an organization they must also be included in decision making conversations. https://t.co/ICD7u0OOzN",7,39,GinniRometty
Thu Jul 22 20:33:30 +0000 2021,"Authenticity and transparency have become more important than ever before for businesses to build trust. This trust is essential for workers to feel valued, for investors to feel secure, and for consumers to believe companies are doing the right thing. https://t.co/T19TbXMBvI",2,11,GinniRometty
Tue Jul 20 23:33:07 +0000 2021,"It’s been 52 years since man first landed on the moon. Slowly over that time, we’ve begun to honor the Black women who made that feat a possibility: Mary Jackson, Katherine Johnson, and Dorothy Vaughan. https://t.co/oxH6ZCzMB3",10,60,GinniRometty
Fri Jul 16 13:26:26 +0000 2021,"@2Uinc @OneTen Together we can bring 1 million Black Americans into the workforce over the next 10 years. With the help of talent developers like @2Uinc, we can prepare individuals for long-term, family sustaining jobs.",3,13,GinniRometty
Mon Jul 12 14:20:46 +0000 2021,"The COVID-19 pandemic exposed many challenges and opportunities for business leaders, and has given us an opportunity to come back better than before. These lessons can help workplaces change to better suit their employees and customers: https://t.co/FWQT0mwaa2",17,44,GinniRometty
Fri Jul 09 17:33:39 +0000 2021,"Thank you, @SvonFriedeburg. Diversity is a fact but inclusion is a choice we make. I was proud to be part of this conversation, sharing what’s worked and what hasn’t, so we can collectively make tech a better and more inclusive industry. https://t.co/rP0TYvRoOu",4,31,GinniRometty
Thu Jun 24 14:33:11 +0000 2021,"@postlive @sbp04 The pandemic showed us how fragile equality is, and the tech industry has an opportunity to create a more inclusive work force. It was a pleasure to talk about how we can bring this vision to life, @postlive and @sbp04.",0,3,GinniRometty
Thu Jun 24 14:30:33 +0000 2021,"Going into STEM is a launch pad, not a destination, that will provide women with the skills to be problem solvers wherever their career leads. Thank you, @postlive for inviting me to talk about the importance of technology education with Ruth Porat, @sbp04 and @byHeatherLong. https://t.co/eL6gzgDMvq",12,31,GinniRometty
Mon Jun 21 18:20:40 +0000 2021,"During #Pride month, we’re reminded how important it is to live freely and authentically. That’s why when I was CEO at @IBM I wanted employees to feel safe, supported and accepted - so everyone could be their best selves, no matter who they are. https://t.co/Vzg8m545yr",4,44,GinniRometty
Fri Jun 18 17:22:05 +0000 2021,"Over the past year, countless commitments were made to support Black Americans, but now we must execute on the promises. #Juneteenth is a day to commemorate emancipation, while also looking forward to the significant work that remains to make America an equitable place. https://t.co/s6dMD4oV9B",5,26,GinniRometty
Thu Jun 17 21:39:52 +0000 2021,"@IBM The incredible people and clients I worked with, and IBM’s commitment to being leaders in good tech were the best parts of my 40 year career. I know IBM will continue to be an inspiring and world-changing place over the next 110 years.",2,57,GinniRometty
Wed Jun 16 19:23:54 +0000 2021,"Advancements, like new technologies, come with huge opportunities for our society - and critical responsibilities to one another. 

Graduates, remember: to be successful in life and business, as you focus on the ""wins,"" be sure they benefit the many not just the few. https://t.co/RxIDh2q3tn",2,26,GinniRometty
Fri Jun 11 16:35:32 +0000 2021,@techreview The purpose of AI is to make humans better. When we adapt it we can grow the skills of our employees and help them do more.,1,1,GinniRometty
Fri Jun 11 13:07:57 +0000 2021,"If you want diversity and inclusion efforts to be successful, you must genuinely believe it will make your company better. @techreview, it was a pleasure to join you to talk about @OneTen and the future of technology. https://t.co/WqyW7xfvyx",4,25,GinniRometty
Wed Jun 09 15:21:36 +0000 2021,"I recently sat down with @mtbarra, chairman and CEO of @GM, for the first conversation in my 3-in-3 series. I’ve compiled Mary’s insights and lessons about leadership, including an extra chat on speed and empowerment, to share with you here. https://t.co/263fg9mx1Q",4,35,GinniRometty
Mon Jun 07 13:13:03 +0000 2021,"@DrTarikaBarrett It is so important that girls see themselves in these industries. After all, you can’t be what you can’t see. @GirlsWhoCode is a key player in making sure girls develop these valuable skills and see themselves in the world of STEM careers. Plus, companies can’t wait to hire them!",5,22,GinniRometty
Mon Jun 07 13:05:38 +0000 2021,"@pattiesellers @kayelbee @_emmahinchliffe @FortuneMagazine Was it Jill Barad, CEO of @Mattel? 

Congratulations on 23 years of acknowledging women’s achievements in business and inspiring many more to follow in their footsteps.",0,1,GinniRometty
Wed Jun 02 15:33:00 +0000 2021,"Now that I’ve shared my tips for building an inclusive workplace culture, I want to hear yours. What has your experience been, either as an employer or employee? What challenges have you faced and how did you overcome them? https://t.co/OpuCdXHzFW",9,55,GinniRometty
Thu May 27 13:24:37 +0000 2021,"@Allstate @MauriceOneTen @OneTen Thank you for joining @OneTen. Your commitment to upskilling, hiring and advancing Black individuals is an important element in pursuit of racial equity.",0,2,GinniRometty
Wed May 26 00:37:05 +0000 2021,@ChuckRobbins @Cisco Thank you @ChuckRobbins and @Cisco for joining @OneTen. I am grateful for your partnership as we work to create 1 million family sustaining jobs for Black Americans.,1,9,GinniRometty
Mon May 24 15:52:54 +0000 2021,"During my last years at IBM, 15% of our U.S. hires were new collar hires. For this to work, we must hire in peer groups because it’s important to help people see themselves in a position where they can thrive with the right support. https://t.co/45is96E5TR",12,75,GinniRometty
Fri May 21 13:40:11 +0000 2021,One of the most important things you can do as CEO is ensure new hires without traditional 4-year degrees are integrated into the company as full-fledged members of the team. CEOs can inspire a top-down approach and make training a high priority within the company's culture. https://t.co/fBNHjyKU6d,16,114,GinniRometty
Thu May 20 15:43:03 +0000 2021,Apprenticeships are an alternative career pathway that allow new hires the ability to earn while they learn. These opportunities are critical in bringing into the workforce those who need to support themselves or their family while they build new in demand skills. https://t.co/ouaBlSqjmb,12,45,GinniRometty
Wed May 19 15:38:41 +0000 2021,"Good managers are critical to new hires’ growth, especially hires without traditional four-year degrees. As we shift from a paradigm in which you “buy” skills to one in which you “build” skills, managers become even more important for training and retaining talent. https://t.co/IRfbDXOOtF",13,66,GinniRometty
Tue May 18 15:17:50 +0000 2021,"While I was at @IBM, our top hiring criteria became a candidate’s propensity to learn (vs their degree) - It’s most telling of how they will perform on the job.

An aptitude-based hiring approach will make our businesses better and make new hires more likely to succeed and grow. https://t.co/vL5e3dJIeT",22,134,GinniRometty
Mon May 17 15:17:20 +0000 2021,"When integrating workers without four-year degrees into your workforce, it makes sense to start with the job families in your company that are growing. Many jobs inside and outside of tech don't require college degrees to start, rather we can teach the skills for the job. https://t.co/ElxdIVkJHO",11,52,GinniRometty
Thu May 13 20:34:45 +0000 2021,"Requiring a 4-year degree can limit your talent pool and is a systemic barrier to economic opportunity. Hiring for skills instead of degrees is good for society and for your business - if you do it right.

My 6 lessons for how you can integrate recruits: https://t.co/ki9AR2omAP",20,92,GinniRometty
Thu May 06 13:15:31 +0000 2021,Today @MikeBloomberg announced the fourth annual Bloomberg New Economy Forum in Singapore this November 16-19. I'm looking forward to joining fellow leaders as we build a path towards a more inclusive global economy. #NewEconForum https://t.co/6tkhpp3IO0,6,22,GinniRometty
Wed May 05 20:14:26 +0000 2021,@yara @IBM It was great to join @stholsether today. It is so important that we all do work that matters. @yara is certainly doing just that.,0,7,GinniRometty
Thu Apr 22 21:55:42 +0000 2021,@IBM For over 50 years IBM has made climate a priority. Looking forward to seeing the transition to zero greenhouse gas emissions.,3,41,GinniRometty
Wed Apr 14 13:57:52 +0000 2021,"Dr. @kkariko’s story of resilience proves why you should never give up on yourself. 
 
She studied mRNA with an unconventional approach - and struggled throughout her career in academia. Now her research has the potential to change healthcare. https://t.co/253v4QgVd5",4,28,GinniRometty
