created_at,full_text,retweet_count,favorite_count,screen_name
Fri Jan 14 05:12:30 +0000 2022,RT @RohanSFTblazer: 🌟 Did you know that the #Salesforce Ecosystem will create 9.3 million jobs over the next few years?  From #Sales and #M…,19,0,Benioff
Fri Jan 14 02:54:06 +0000 2022,"RT @YouSearchEngine: ""Imagine, search becoming a personal companion, without targeted ads, where navigating the information universe become…",3,0,Benioff
Fri Jan 14 02:53:58 +0000 2022,RT @GFREED: https://t.co/V9OyqLqbYr,4,0,Benioff
Fri Jan 14 02:05:51 +0000 2022,RT @EmilyGlazer: How can employees gather together safely these days? Some CEOs say it’s all about regular Covid tests— if you can get them…,3,0,Benioff
Fri Jan 14 01:20:17 +0000 2022,"RT @swbjoyce: “Testing is the key. The reality is, it’s not risky to get together if everyone is tested that day.” @Benioff tells @WSJ’s @C…",10,0,Benioff
Thu Jan 13 19:34:41 +0000 2022,RT @Benioff: We all need more tests. Test­ing is the key. It’s not risky to come to­gether in the of­fice if every­one is tested that day.…,27,0,Benioff
Thu Jan 13 17:44:51 +0000 2022,We all need more tests. Test­ing is the key. It’s not risky to come to­gether in the of­fice if every­one is tested that day. It’s not risky to come to­gether in a meet­ing or an off-site or a com­pany event or a cus­tomer event if every­one is tested. https://t.co/NJv2Jabnst,27,102,Benioff
Thu Jan 13 17:26:15 +0000 2022,RT @ToyBoogers: I am so excited and honored to announce that I’ve partnered with TIME Studios to develop a cartoon series bringing Toy Boog…,405,0,Benioff
Thu Jan 13 05:30:03 +0000 2022,"“UK &amp; Canada approved more kits &amp; prioritized their manufacture &amp; distribution giving their citizens access to millions of free tests throughout the past year. America lacks the test abundance because instead of choosing abundance, we chose scarcity.” https://t.co/lGENW0mnv7",9,53,Benioff
Thu Jan 13 05:18:54 +0000 2022,"RT @TIME: Massimo Bottura, one of Italy’s most celebrated chefs, is on a mission to help save the planet by changing the way we eat—one del…",60,0,Benioff
Thu Jan 13 03:27:04 +0000 2022,RT @Benioff: Welcome Gavin Patterson to Salesforce as President &amp; Chief Revenue Officer. Gavin will be responsible for leading our global s…,52,0,Benioff
Thu Jan 13 00:22:22 +0000 2022,RT @SadhguruJV: A wonderful move &amp; most needed for the planet. Great to see the United States take leadership in reviving soil health. Land…,1070,0,Benioff
Wed Jan 12 17:59:50 +0000 2022,RT @Benioff: We need more people who get angry when there are failures in government—even better when its someone in congress!,4,0,Benioff
Wed Jan 12 17:59:18 +0000 2022,RT @Benioff: My heart is breaking for our front line doctors &amp; nurses who are working harder than ever with these rising hospitalizations &amp;…,12,0,Benioff
Wed Jan 12 09:37:40 +0000 2022,My heart is breaking for our front line doctors &amp; nurses who are working harder than ever with these rising hospitalizations &amp; decreasing hospital staff (who are out sick) while testing &amp; masks are simply impossible to find after 2 years of a global pandemic. ❤️ https://t.co/rGqSsWCmAZ,12,155,Benioff
Wed Jan 12 09:29:57 +0000 2022,RT @Benioff: We all have to learn how to go from the hurricane &amp; back to peace. Only @ariannahuff can make this so simple. Wonderful to vis…,7,0,Benioff
Wed Jan 12 09:23:16 +0000 2022,We need more people who get angry when there are failures in government—even better when its someone in congress! https://t.co/9ZBztUEUis,4,48,Benioff
Wed Jan 12 09:11:06 +0000 2022,"RT @kaikahele: Our family &amp; 600 other familes just got word our kids entire school is SHUT DOWN for the next 8 days due to #covid.

Do our…",39,0,Benioff
Wed Jan 12 09:10:06 +0000 2022,"RT @georgeorrwhite: Yet again, Rep. @kaikahele speaking truth to power for people of Hawaii. Things need not be this way, if only our “lead…",4,0,Benioff
Wed Jan 12 08:48:12 +0000 2022,RT @MrTrashWheel: Meet some of my water friends who also love gobbling up garbage! Learn about bubble barriers and other hungry devices cle…,4,0,Benioff
Wed Jan 12 02:16:30 +0000 2022,"We all have to learn how to go from the hurricane &amp; back to peace. Only @ariannahuff can make this so simple. Wonderful to visit on her podcast. ❤️
https://t.co/kYZnjFwMFD",7,36,Benioff
Tue Jan 11 23:47:41 +0000 2022,"RT @UCSFDOM: 1/ STARTING now - Welcome to #UCSFMGR with Prof @lynch_lab &amp; Dr. El-Nachef frm @UCSFGIfellows, talking abt our understanding o…",4,0,Benioff
Tue Jan 11 23:47:34 +0000 2022,RT @ScharschmidtLab: Experience in human immunology? Interest in early life immunity? Come join us @immunoX @ucsf for a funded postdoc with…,58,0,Benioff
Tue Jan 11 23:47:05 +0000 2022,RT @ucsfmicrobiome: Congratulations to the newest cohort of the Chan Zuckerberg Biohub Investigators! Excited to see 5 BCMM members in the…,1,0,Benioff
Tue Jan 11 23:46:24 +0000 2022,"RT @timepieces: So much fun!! 

@TIMEPieces' first ""Artists Talk"" of 2022 and over 250 attendees joined us to hear @dave_krugman &amp; @illkonc…",11,0,Benioff
Tue Jan 11 08:31:35 +0000 2022,RT @techreview: This will have a huge impact on science. https://t.co/3AL591uIpw,31,0,Benioff
Tue Jan 11 08:25:43 +0000 2022,"RT @EricTopol: ""So you can CRISPR genome edit a pig's heart so it can be successfully transplanted to a human?""
""That's right, we just did…",649,0,Benioff
Tue Jan 11 08:24:38 +0000 2022,RT @SlackHQ: The new composer design has just rolled off the showroom floor. A tidier composition box appeared. Come take it for a spin! 🏎…,8,0,Benioff
Tue Jan 11 07:58:54 +0000 2022,"RT @DeepRecommend: 【How Quantum Computing Begin?】

Quantum computing began in 1980 when physicist Paul Benioff proposed a quantum mechanica…",7,0,Benioff
Tue Jan 11 07:55:37 +0000 2022,"RT @MKushel: Yes--those with MH/SUD more likely to become homeless, but ppl don't distinguish bw drivers (lack of affordable housing, incom…",2,0,Benioff
Tue Jan 11 07:55:18 +0000 2022,"RT @resnikoff: This post is a little technical, but I think the ideas it discusses are extremely important to understand the modern era of…",102,0,Benioff
Tue Jan 11 07:52:43 +0000 2022,"RT @TheOceanCleanup: In the coming months, we will be testing the new combination of Interceptor Barriers and an Interceptor Tender aka Int…",409,0,Benioff
Tue Jan 11 07:52:35 +0000 2022,RT @BoyanSlat: And here’s one of Jamaica’s Interceptor Barriers after a bit of rain. To think this used to flow into the Caribbean all the…,459,0,Benioff
Tue Jan 11 07:52:15 +0000 2022,RT @BoyanSlat: Thank you @UCSBenioffOcean for supporting this project + v proud of the team that developed &amp; deployed this new solution!,6,0,Benioff
Tue Jan 11 04:15:52 +0000 2022,RT @MichaelDell: https://t.co/0szRqyx5VJ,620,0,Benioff
Tue Jan 11 03:25:06 +0000 2022,"RT @timepieces: The FIRST, interactive #Photography Books published to the blockchain - a collab b/w @TIMEPieces &amp; FOTO!

https://t.co/6Tym…",93,0,Benioff
Mon Jan 10 03:09:02 +0000 2022,"RT @TIME: Sidney Poitier, who has died at 94, helped reshape that world to such a degree that we’ll never be able to reckon fully with his…",172,0,Benioff
Sun Jan 09 21:44:25 +0000 2022,@FutureJurvetson @gjurvetson https://t.co/1dEbLOF1Tu,0,11,Benioff
Sun Jan 09 20:03:49 +0000 2022,RT @EricTopol: Omicron says Hello to California https://t.co/ApFNEVz7a5,627,0,Benioff
Sun Jan 09 08:38:59 +0000 2022,"RT @EricTopol: Omicron's silver lining?
✓ immunity wall now, grows
✓ Less severe clinically/ experimentally
X  Still kills and makes people…",270,0,Benioff
Sun Jan 09 02:48:06 +0000 2022,RT @Benioff: Completely unacceptable that we are 2 years into the pandemic &amp; our public schools do not have testing &amp; masks when our kids &amp;…,162,0,Benioff
Sun Jan 09 01:47:58 +0000 2022,"RT @TIME: If one thing has become clear about @shondarhimes, it’s that she has little use for conventional wisdom. And why should she, when…",16,0,Benioff
Sun Jan 09 01:37:38 +0000 2022,Completely unacceptable that we are 2 years into the pandemic &amp; our public schools do not have testing &amp; masks when our kids &amp; teachers need them.,162,1631,Benioff
Sat Jan 08 23:23:40 +0000 2022,RT @Benioff: There is a member of our political Ohana who is not a news reporter but a real leader.  He gets it. And his name is @kaikahele!,12,0,Benioff
Sat Jan 08 07:15:27 +0000 2022,There is a member of our political Ohana who is not a news reporter but a real leader.  He gets it. And his name is @kaikahele! https://t.co/IdOtPN9wDD,12,124,Benioff
Sat Jan 08 06:59:16 +0000 2022,"RT @HawaiiSenate: #BREAKING 4,789 new cases reported today (1/6/22). 3,245 new cases on Oʻahu, 508 on Hawaiʻi island, 676 on Maui, 213 on K…",14,0,Benioff
